id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4527744577439404,JbDLjvdko,1246229612,毛晓彤,#钟晓芹真实##三十而已开播#钟·哆啦A梦·咸鱼·晓芹，今天开始营业啦～只要你来看30而已，我们就是好朋友,,,,"钟晓芹真实,三十而已开播",153786,9796,73776,2020-07-17 18:31,,['http://ww1.sinaimg.cn/large/4a47f46cly1ggu5e28phgj21jk1114qp.jpg'],,
4527827234064088,JbFUDh3fO,2483160104,嘎嘎多,宣传委员上线//@白宇WHITE:#三十而已#，怎么闯都来得及,,,白宇WHITE,三十而已,0,0,0,2020-07-17 23:59,C位出道的,,,4527744577439404
4527827220698347,JbFUC2VFF,6349316681,郁郁茏茏,//@白宇工作室:#三十而已#，还有大把美好时光～为钟晓芹打call//@白宇WHITE:#三十而已#，怎么闯都来得及,,,"白宇工作室,白宇WHITE",三十而已,0,0,0,2020-07-17 23:59,OPPO智能手机,,,4527744577439404
4527827216765739,JbFUBso4P,6620116063,西Q柚,//@白宇WHITE:#三十而已#，怎么闯都来得及,,,白宇WHITE,三十而已,0,0,0,2020-07-17 23:59,OPPO智能手机,,,4527744577439404
4527827153588180,JbFUvf3rS,7276251828,龙城大学小白菜,是的//@白宇WHITE:#三十而已#，怎么闯都来得及,,,白宇WHITE,三十而已,0,0,0,2020-07-17 23:59,HUAWEI Mate 30,,,4527744577439404
4527827141005472,JbFUu4dzi,5151100303,杨十七yyy47,面对#二十不惑#和#三十而已#我竟然觉得三十而已更有吸引力,,,,"二十不惑,三十而已",0,4,1,2020-07-17 23:59,iPhone客户端,,,
4527827107723283,JbFUqwpb5,6142527146,喝多了的醉桃子,//@白宇全球影迷会:#三十而已#营业宇上线@白宇WHITE//@白宇WHITE:#三十而已#，怎么闯都来得及,,,"白宇全球影迷会,白宇WHITE",三十而已,0,0,0,2020-07-17 23:59,HUAWEI P20,,,4527744577439404
4527827069968672,JbFUmFPj2,6142527146,喝多了的醉桃子,//@GENTAImiaos:你啥时候能用下转发群呢//@白宇WHITE:#三十而已#，怎么闯都来得及,,,"GENTAImiaos,白宇WHITE",三十而已,0,0,0,2020-07-17 23:59,HUAWEI P20,,,4527744577439404
4527827052930433,JbFUlcil3,5322674034,沈家有个小十安,#陈屿太烦人了#《三十而已》太真实，钢铁直男陈屿对老婆说的话简直句句扎心，“你不是没成家，你是没成年”“养比生难度多了，你哪点做好准备了？”，直男含量过于纯正，带入感太强，实名人间老公szd！#三十而已#L沈家有个小十安的微博视频,,,,"陈屿太烦人了,三十而已",0,0,0,2020-07-17 23:59,微博视频号,,"http://f.video.weibocdn.com/0p4AHT9Dlx07EUXaY6Wk01041200pzCW0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375008&ssig=dfMcSeEcyA&KID=unistore,video",
4527827032998694,JbFUjcA62,2872175874,Rruviii,#三十而已#很好看啊，剧情不俗套衔接的也很好？特别是三个人碰巧都因为电梯停了在楼梯间相遇这个场景拍的很像大片情节。一直都很喜欢看江疏影演的都市女性题材！不知道为什么很多人要说get不到她的颜，我觉得她长得很大气很舒服顾佳完美的全职太太，王曼妮努力生活想在大城市留下的销售，还有虽然平淡也像一直没长大的心地很善良的毛晓彤,,,,三十而已,0,1,13,2020-07-17 23:59,iPhone,,,
4527827016220736,JbFUhq6is,6142527146,喝多了的醉桃子,//@COSMOS_白宇指北针:白宇#白宇的宇宙空间#宣传委员@白宇WHITE已上线//@白宇WHITE:#三十而已#，怎么闯都来得及,,,"COSMOS_白宇指北针,白宇WHITE","白宇的宇宙空间,三十而已",0,0,0,2020-07-17 23:59,HUAWEI P20,,,4527744577439404
4527636502810492,JbAX0bN8w,1345397011,演员李泽锋,今天#三十而已开播#！许幻山为#三十而已#设计的烟花已经准备好了，今晚一起看烟花🎇🎇🎇,,,,"三十而已开播,三十而已",60320,19033,111046,2020-07-17 11:22,iPhone 11 Pro Max,['http://ww3.sinaimg.cn/large/50312113ly1ggtszbmyy9j21aw2bcqv5.jpg'],,
4527827003380120,JbFUgebk4,6647179660,蓝小姐橙先生1314,期待你们的亲爱的自己呀//@刘诗诗:期待#三十而已#“烟花设计师”许幻山！,,,刘诗诗,三十而已,0,0,0,2020-07-17 23:59,iPhone客户端,,,4527636502810492
4527826994993489,JbFUfkX29,6142527146,喝多了的醉桃子,//@白宇工作室:#三十而已#，还有大把美好时光～为钟晓芹打call//@白宇WHITE:#三十而已#，怎么闯都来得及,,,"白宇工作室,白宇WHITE",三十而已,0,0,0,2020-07-17 23:59,HUAWEI P20,,,4527744577439404
4527826961964500,JbFUc8f3u,6142527146,喝多了的醉桃子,//@白宇WHITE:#三十而已#，怎么闯都来得及,,,白宇WHITE,三十而已,0,0,0,2020-07-17 23:58,HUAWEI P20,,,4527744577439404
4527826922906464,JbFU8cc6s,6865889564,宇宙无敌白小宇,//@白宇WHITE:#三十而已#，怎么闯都来得及,,,白宇WHITE,三十而已,0,0,0,2020-07-17 23:58,Android客户端,,,4527744577439404
4527615874697012,JbApJjHUg,5406006781,微博电视剧,#三十而已开播#30岁，还要继续在大城市漂着吗？30岁，还敢从头开始新的事业吗？30岁，准备好迎接孩子的降临了吗？30岁，和以前到底有什么不同？今晚来腾讯视频，见证30岁的姐姐们，随心而活，尽兴成长。三十而已，你怕什么！@江疏影@童瑶@杨玏@毛晓彤@演员李泽锋@edward_馬志威@晏紫东L微博电视剧的微博视频,,,"江疏影,童瑶,杨玏,毛晓彤,演员李泽锋,edward_馬志威,晏紫东",三十而已开播,49568,259,14733,2020-07-17 10:00,微博视频号,,"http://f.video.weibocdn.com/CTpTLsd5lx07ETV3BR9e01041200bY3A0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375008&ssig=6lcxQzjUPt&KID=unistore,video",
4527826915041186,JbFU7l9rs,2061112414,话不多_yan,好看//@毛晓彤:#三十而已开播#享受自己偷懒的人生哲学，也拥有面对未知的坦然。今晚#三十而已#见！,,,毛晓彤,"三十而已开播,三十而已",0,0,0,2020-07-17 23:58,iPhone客户端,,,4527615874697012
4530363957773207,JcJU7wCaj,3628827442,_畅畅畅畅畅哥哥,陈养鱼许放炮梁有财#三十而已#,,,,三十而已,0,3,3,2020-07-24 23:59,OPPO Reno,,,
4530363907445912,JcJU2vf1m,6333958145,萝卜缨子lbyz,顾佳和许幻山什么时候离婚？看个剧真的真是要气死人了😡#三十而已#,,,,三十而已,0,0,2,2020-07-24 23:59,iPhone客户端,"['http://ww4.sinaimg.cn/large/006UEDRfgy1gh2i7tepo5j33402c07pd.jpg', 'http://ww2.sinaimg.cn/large/006UEDRfgy1gh2i7vww5uj33402c0kf5.jpg']",,
4530363877821869,JcJTZwOPb,5713412109,Loindetoiy,许换三这个“你太坏了”堪比洪世贤的“你好骚啊”绝了#三十而已#,,,,三十而已,0,2,0,2020-07-24 23:59,💫沉溺Android,['http://ww2.sinaimg.cn/large/006eETudly1gh2i7gp31wj30o80n445d.jpg'],,
4530363860787479,JcJTY3iRh,6312254535,追剧少女的日常-,#三十而已#许子言这么可爱的儿子顾佳这样的妻子还能出轨???这不是作吗虽然是演的我还是有点气⏩,,,,三十而已,0,0,0,2020-07-24 23:59,Android,"['http://ww2.sinaimg.cn/large/006TbzL1gy1gh2i3y8xsuj31t00u0ape.jpg', 'http://ww2.sinaimg.cn/large/006TbzL1gy1gh2i3yzc6rj31t00u0dtx.jpg']",,
4530363839811166,JcJTVFakC,2296217101,大岛星团,#三十而已#第22集预告：上次是钟晓芹喝醉酒进门，这回是陈屿喝醉进门，我合理怀疑陈屿是故意的陈旭把陈屿放到卧室床上就走了，陈屿抓着钟晓芹的手说：陈旭，我错了，陈旭，跟你嫂子说，我错了，你求求她原谅我吧，行不~我给她道歉~~杨玏/陈屿毛晓彤/钟晓芹#陈屿醉酒道歉#L中影小水的微博视频,,,,"三十而已,陈屿醉酒道歉",0,0,0,2020-07-24 23:59,Redmi Note 8四摄,,"http://f.video.weibocdn.com/zaEzEAotlx07F60nwy5201041200han60E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=qclZzVvmxO&KID=unistore,video",
4530363828014089,JcJTUxCPv,5541900228,秦霄贤啥时候娶我,【李泽锋《#三十而已#》播至第16-17集！——林有有太会了，她把许幻山夸上了天：“怎么会有像你这么厉害的人！”】林有有送别许幻山，两人同时低头、近距离靠近的那个瞬间，他们心动了！林有有送给许幻山一个巴斯光年钥匙链，把这个男人夸到了天上：“怎么会有像你这么厉害的人！！你就和巴斯光年一样，你们都是照亮宇宙的太空骑警！！”许幻山特别喜欢女人夸自己，笑成了一朵老菊花……L新剧不能停的微博视频,,,,三十而已,0,0,0,2020-07-24 23:59,iPhone客户端,,"http://f.video.weibocdn.com/tymIr5zvlx07F63OsTBC01041200hKV40E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=9L8v1C1HV7&KID=unistore,video",
4530363814906661,JcJTTkArH,1793185684,我就是梦瑶呀,在朋友圈调研#三十而已#渣男三选一后，结果是梁正贤>陈屿>许幻山，可见解放后的女性最不能容忍的还是背叛。,,,,三十而已,0,0,0,2020-07-24 23:59,iPhone客户端,,,
4530363802061631,JcJTS8Ek7,2352788557,花花酱的八娱日常,近日，有八卦媒体拍到毛晓彤拍摄完杂志大片后，与一名小鲜肉一同回到家中，两人背着同款的白色包包，且再也没看到男生下楼离开。新浪娱乐求证毛晓彤工作人员，对方拒绝回应。据悉，毛晓彤与前任陈翔于2018年1月分手，此后的两年空档期里，毛晓彤并未传出新恋情的消息。#三十而已##娱乐##萌妹#,,,,"三十而已,娱乐,萌妹",0,0,0,2020-07-24 23:59,iPhone客户端,['http://ww1.sinaimg.cn/large/8c3cb44dgy1gh2i7gzomcj20hi0pi7bv.jpg'],,
4530363759870675,JcJTNFpOr,7406378095,白面书-笙,#三十而已#王漫妮独身一人，成为了空巢青年，含泪给母亲说的一句话太真实L鱼七少年io的微博视频,,,,三十而已,0,0,1,2020-07-24 23:59,微博视频号,,"http://f.video.weibocdn.com/8kTOzyzNlx07F67pj6eY01041200kHUT0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=pl4X%2BiiZof&KID=unistore,video",
4530363738888248,JcJTLBieQ,6307162481,uhfttt,#三十而已#是徐总传的晓芹离婚！！！,,,,三十而已,0,0,0,2020-07-24 23:59,Android,,,
4530363718964360,JcJTJBC2s,2287053320,小西子阿陈,成年人的世界太不容易了，什么不好的事只能自己扛着#三十而已#,,,,三十而已,0,0,0,2020-07-24 23:59,,['http://ww1.sinaimg.cn/large/8851aa08gy1gh2i74s5caj20ic0l4ac1.jpg'],,
4530363668108353,JcJTEy1lT,7393171510,知名小仙男v,#三十而已#女人天生自带侦探能力，一个橘子🍊便看出端倪L知名小仙男v的微博视频,,,,三十而已,0,0,0,2020-07-24 23:58,微博视频号,,"http://f.video.weibocdn.com/hqN4n8gllx07F67nKjO001041200fbVs0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=W2JG46%2BzNq&KID=unistore,video",
4530363667843119,JcJTEwUlV,1624034957,综综小迷妹,#二十不惑#20岁，青春的开始，对生活的所有充满期待，是美好的向往…#三十而已#30岁，也许是绝望，也许是挣扎，也许是拼了命也要努力的坚持，也许是对生活失去了热爱，也许是…放弃自己的坚持！20岁想着30岁奋斗该有的都有了，加把劲努力奋斗活成自己想成为的那个人。30岁…原来长大那么苦那么累，那么不美好，原来社会不会因为你弱不会因为你是女孩子，而待你好半分。想要20岁的自由，20岁的勇敢，成长的生活哪那么美好，只不过都在咬牙坚持罢了，能留给别人多点阳光就不必报忧，擦擦生活的伤痕，还得继续前行。。。。,,,,"二十不惑,三十而已",0,1,5,2020-07-24 23:58,,,,
4530363660247241,JcJTE12jL,6643119780,喜欢奶茶也喜欢甜甜,#三十而已#的人生真相，比金句更扎心的是现实！L剧迷蓝胖纸的微博视频,,,,三十而已,0,0,0,2020-07-24 23:58,微博视频号,,"http://f.video.weibocdn.com/MWBAGDJBlx07F67nCesU010412008Jxl0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=olxRpbki4%2F&KID=unistore,video",
4530363659720010,JcJTDEMCm,6290494888,曦晨Dawn,#三十而已#真的有被许幻山恶心到,,,,三十而已,0,0,0,2020-07-24 23:58,微博国际版,,,
4530363633772199,JcJTBfPjV,6641114125,下课传-情书,#三十而已#钟晓芹醉酒大骂陈屿，一旁的陈屿举动惊人L追剧小萌妞的微博视频,,,,三十而已,0,0,0,2020-07-24 23:58,微博视频号,,"http://f.video.weibocdn.com/UxbR2DGulx07F67nd4M001041200bfSm0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375074&ssig=%2BnPMEm7rP9&KID=unistore,video",
4530363919505800,JcJU3DSTm,1656034290,稻米水君,#三十而已#第21.23预告：顾佳在李太太手里买了一个账面亏损且估值过高的茶园，到了地方才发现被坑了，许幻山冲茶厂工人发完火，对顾佳说要不先给那个什么太太打个电话问问。对方态度是你自己不查清楚现在怪不了我。顾佳在茶厂学会了所有制茶的流程，决定好好做茶厂。回到太太圈以后，对着太太们放狠话这段也好爽：谢谢你啊李太太，为了我这么一个不起眼的人，你还费尽心思挖了这么大一个坑，我心甘情愿为我的错买单，人走的每一步都得付出代价，我付我的，各位呢？将来也一定会付你们自己的。一直觉得自己有捷径有靠山，这叫价值观扭曲，像我一样，总有一天会被纠正的。不同的是，我还能在拥有自己姓名的时候离开，各位呢？因为冠着夫姓而存活，活在丈夫的价值半径里，再刨一份优越感，聚在一起炫耀比较，真是越光鲜越可悲，我叫顾佳，后会无期！童瑶/顾佳李泽锋/许幻山#顾佳离开太太圈##顾佳被太太圈坑#L中影小水的微博视频,,,,"三十而已,顾佳离开太太圈,顾佳被太太圈坑",2,1,18,2020-07-24 23:59,Redmi Note 8四摄,,"http://f.video.weibocdn.com/on3oa7KSlx07F61mU4Eo01041200xSsF0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375079&ssig=QYqEkYJIfs&KID=unistore,video",
4530363815431531,JcJTTmMZl,3544092084,賀賀賀小V,枪打的是出头鸟柿子专挑软的捏在这个社会中怎么样做才能做好中庸#二十不惑##三十而已#,,,,"二十不惑,三十而已",0,2,2,2020-07-24 23:59,OPPO随光而变R17,['http://ww3.sinaimg.cn/large/d33e8db4ly1gh2i79hcklj23k02o0e81.jpg'],,
4530363748064889,JcJTMxQ2R,5840223918,添福宝宝ran,也是一口气#三十而已#,,重庆,,三十而已,0,0,0,2020-07-24 23:59,红米Redmi,['http://ww1.sinaimg.cn/large/006neZ1Yly1gh2i6zdf3dj30k0140gqj.jpg'],,
4530363696942117,JcJTHt7XD,7347818002,魂穿-坚果,#三十而已#小夫妻刚离婚，回到家里就这样分配“财产”L惊扰了梨花的微博视频,,,,三十而已,0,0,0,2020-07-24 23:58,微博视频号,,"http://f.video.weibocdn.com/IhVosaGAlx07F67odbZe010412007EBs0E010.mp4?label=mp4_ld&template=632x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375084&ssig=ip27gCofDw&KID=unistore,video",
4530363613842486,JcJTzg7BA,2920540443,环奈环奈,#三十而已#每天一个观后感佳姐冲鸭！！！死放炮的赶紧崩吧,,,,三十而已,0,2,0,2020-07-24 23:58,小米8周年旗舰手机,,,
4530337550436229,JcJdx1PtX,7161962323,电视剧三十而已,#三十而已#【瑟提黄金档】陈屿@杨玏照顾醉酒回家的钟晓芹@毛晓彤，晓芹趁着酒劲儿吐槽也是很贴切了：“我离婚离对了！我都不知道两个人在一起还能做这么多有意思的事儿！”冷言冷“屿”，宁有听到吗L电视剧三十而已的微博视频,,,"杨玏,毛晓彤",三十而已,16,70,769,2020-07-24 22:15,国产剧集 · 视频社区,,"http://f.video.weibocdn.com/HVrCaeyflx07F5Jn51Co01041200nDEM0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=bdef57f06ae52835a2c783ca389e8517&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375114&ssig=vgdqoalamQ&KID=unistore,video",
4530363597068154,JcJTxtEKu,5322715932,kasey0516,复婚复婚！！#三十而已##陈屿竟然会吃醋#,,,,"三十而已,陈屿竟然会吃醋",0,0,0,2020-07-24 23:58,华为手机,,,4530337550436229
4530363584484362,JcJTwiOAq,1742481914,-BETTER衣-,#三十而已#距离三十还有一年两个月。从来没想过有一天我竟然会30岁。一个可怕又可爱的节点。不知道真正来到的时候我会是什么样子，可能还跟现在一样幼稚有无知，也可能勤奋又上进，很可能邋遢又暴躁。生活总是有太多可能，而最终会是怎么样，谁又会知道。但至少生活会告诉你你都做过什么。努力过的人可能都不会太差吧。,,,,三十而已,0,0,2,2020-07-24 23:58,华为畅享10 Plus,,,
4530363575830347,JcJTvosJR,5822105319,小可爱凤_,#三十而已#许幻山太恶心了吧！！不得不说演员演技太好了，我简直气的想打爆他的🐶头，编剧太有才了，无论是陈屿还是许幻山，渣男形象太符合实际了，我觉得编剧和演员肯定采访过一万个渣男。,,,,三十而已,0,0,3,2020-07-24 23:58,iPhone客户端,,,
4530363550927707,JcJTt3Tl1,5086195723,诶岩哥哥,#三十而已#看预告又被绿茶恶心到了呕,,,,三十而已,0,0,0,2020-07-24 23:58,,,,
4530363546476046,JcJTsraIm,5870071619,姚云烨,#三十而已#大龄青年的恐婚道路上没有一部国产神剧是无辜的~~#你是恐婚族吗#,,,,"三十而已,你是恐婚族吗",0,0,1,2020-07-24 23:58,微博 weibo.com,,,
4530363487496349,JcJTmvs8R,5257759212,涉江君,【毛晓彤晏紫东《#三十而已#》播至第16-17集！——晓阳填满了晓芹离婚后空虚的生活！跟着年轻人感受世界，晓芹感受到了不曾有过的开心：“原来两个人可以做这么多有趣的事！”】晓阳和晓芹终于解除误会了！晓芹离婚的事在公司传得沸沸扬扬，晓芹以为晓阳说的，后来知道是主管说的，晓芹对晓阳好感度UP！UP！晓阳宽慰姐姐，让她不要在意离婚的事：“不要在意别人说什么，只要今天活得比昨天开心就好！那天是我的瞎了，没看清楚，原来是个这么漂亮的小姐姐啊！”晓芹离婚后空虚的生活被晓阳填满了，她开心极了：“我以前不知道，原来两个人可以做这么多有趣的事！我特别开心！”L新剧不能停的微博视频,,,,三十而已,0,0,0,2020-07-24 23:58,Redmi Note 8四摄,,"http://f.video.weibocdn.com/qAbE0Ylklx07F65hY5Us01041200R5xr0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1627375114&ssig=KIQGNTzuG9&KID=unistore,video",
4530363450001717,JcJTj00rH,7200755422,用户7200755422,#三十而已#还有这种傻b电视剧,,,,三十而已,0,0,0,2020-07-24 23:57,iPhone客户端,,,
